Yield,Clusters,Long,Lat,Intercrop,Fert,Manure,Labour,Pest,Residue,Rotation,Fallow,Femhead,Mindis,Erosion,Hhsize,Headage,Meanedu,Educmax,Landsize,Nplots,FempltsF,TLU,CropD,LvstD,Ntreat,Ncrop,FertHa,Totincome,MaizeA,octEVI,novEVI,decEVI,janEVI,febEVI,marEVI,aprEVI,seasEVI,octprec,novprec,decprec,janprec,febprec,marprec,aprprec,seasprec,pdsi,lst,Maxtemp,Mintemp,Soilmoist,Silt,Sand,Clay,CEC,Orgcab,Soilbulk,DEM,MarketAccess,LivDens
247.105011,6,34.51902086,-14.22140339,1,0,0,0,0,0,0,0,1,0,1,7,85,3,5,0.809388936,2,0,0.01,3,2,0,3,0,54.34253693,0.607029378,0.154599994,0.203950003,0.288850009,0.391000003,0.519400001,0.505050004,0.385600001,0.375800014,35,34,346,340,183,410,42,1390,4.300000191,40.31999969,30,20.89999962,1659.099976,17.11648568,20.01065567,15.26781697,21.31405477,20.01065567,140.0199068,520.0387177,17,1161.942106
257.4010315,6,34.07037375,-14.31263267,0,0,1,0,0,0,1,0,0,0,1,5,43,3.25,5,0.48968029,2,0,0.059999999,2,1,0,2,0,74.40409851,0.388498813,0.145679567,0.163414886,0.247527752,0.404517661,0.482291116,0.456183735,0.395935366,0.365166748,39,54,341,246,223,306,87,1296,4.199999809,34.0200119,26.5,16.5,1106.199951,15.28031661,25.12630197,23.39076513,25.68456996,25.12630197,131.4926616,1251.783148,10,2581.641261
257.401062,6,34.1062314,-14.19857379,1,0,0,0,0,0,1,0,0,1,0,6,45,1,1,0.910562575,4,12,0,5,0,0,6,0,7.942028999,0.485623509,0.162400007,0.148450002,0.234999999,0.311699986,0.543150008,0.471899986,0.382600009,0.323599994,35,50,331,243,208,305,72,1244,4.199999809,34.64998627,26.60000038,16.60000038,1164.900024,26.28028122,25.60021698,23.58986704,26.59590604,25.60021698,136.1632415,1228.775963,10,2551.985208
262.5490723,6,34.11707502,-14.18666517,1,0,1,0,0,1,1,0,0,0,1,6,31,4,5,0.242816687,2,20,0,3,0,0,3,0,38.39494324,0.194249403,0.1743,0.110950001,0.225400001,0.508449972,0.57190001,0.484200001,0.391950011,0.384799987,35,50,331,243,208,305,72,1244,4.199999809,37.11998749,26.60000038,16.60000038,1164.900024,19.02305179,24.18721934,20.278295,24.30837952,24.18721934,135.5965071,1187.171606,10,2534.314135
264.7553711,6,34.10161987,-14.20484307,1,0,1,1,0,0,0,0,0,1,0,4,85,3.75,7,1.416430593,4,75,0.300000012,5,1,0,7,0,120.2915497,0.849841148,0.157399997,0.14215,0.199949995,0.302100003,0.512700021,0.451299995,0.408549994,0.361900002,35,50,331,243,208,305,72,1244,4.199999809,36.20998383,26.60000038,16.60000038,1164.900024,27.06060186,24.49407349,23.23336258,26.39067148,24.49407349,138.2802932,1235.382757,10,2586.016197
277.9931335,6,34.07289158,-14.32009224,1,0,1,0,0,0,1,0,0,1,1,6,74,1.333333373,3,1.517604232,5,0,0.350000013,5,2,0,9,0,50.896492,0.809372529,0.1219,0.197349995,0.222900003,0.408100009,0.502449989,0.417650014,0.374049991,0.344799995,39,54,341,246,223,306,87,1296,4.199999809,33.4200058,26.5,16.5,1106.199951,14.29531879,23.74754545,23.9689175,24,23.74754545,136.9486323,1261.118622,10,2578.998692
329.4733276,1,34.75071716,-14.73034286,1,0,0,0,0,0,0,0,1,0,0,3,30,0,0,0.607041717,2,0,0.150000006,2,1,0,2,0,32.5464325,0.060702942,0.14554366,0.167101091,0.225136437,0.339599387,0.470108099,0.429475717,0.34827976,0.336064924,44,46,331,355,228,530,32,1566,3.900000095,35.38467231,27.39999962,18.20000076,1593.800049,13.83804688,20.08619126,14.09142611,22.00195933,20.08619126,141.3158713,1110.13888,18,1041.670993
332.6413574,6,34.52536113,-14.22064534,1,0,1,0,0,1,0,0,1,1,0,7,40,6.666666508,10,0.607041717,2,0,0,3,0,0,3,0,37.64045334,0.526092142,0.145300001,0.149499997,0.218199998,0.354149997,0.497399986,0.479200006,0.432300001,0.368200004,35,34,346,340,183,410,42,1390,4.300000191,41.92998505,30,20.89999962,1659.099976,19.23161706,20.59968553,13.84668039,20.8485945,20.59968553,140.2813804,516.8312384,17,1215.034848
336.0628052,6,34.06905535,-14.31528789,1,0,1,0,0,0,1,0,0,0,0,4,74,1.333333373,3,1.416430593,4,0,0.029999999,7,1,0,8,0,49.2405777,0.404686272,0.146200001,0.155049995,0.248249993,0.501749992,0.46509999,0.45660001,0.374249995,0.367500007,39,54,341,246,223,306,87,1296,4.199999809,34.0200119,26.5,16.5,1106.199951,16.08309517,24.76644417,22.53746153,24.95026704,24.76644417,133.445755,1250.945666,10,2570.577663
339.2077637,6,34.51891318,-14.22514762,0,0,0,1,0,1,0,0,0,0,1,2,70,5.5,8,0.910562575,3,100,1,2,1,0,3,0,15.884058,0.890309796,0.172575883,0.172370479,0.283506305,0.349578954,0.396029074,0.398305016,0.36108561,0.370608964,35,34,346,340,183,410,42,1390,4.300000191,40.6696078,30,20.89999962,1659.099976,17.16889911,19.95651896,17.26946394,21.82623922,19.95651896,141.1061087,526.6102819,17,1168.272485
