Yield,Clusters,Long,Lat,Intercrop,Fert,Manure,Labour,Pest,Residue,Rotation,Fallow,Femhead,Mindis,Erosion,Hhsize,Headage,Meanedu,Educmax,Landsize,Nplots,FempltsF,TLU,CropD,LvstD,Ncrop,FertHa,Totincome,MaizeA,octEVI,novEVI,decEVI,janEVI,febEVI,marEVI,aprEVI,seasEVI,octprec,novprec,decprec,janprec,febprec,marprec,aprprec,seasprec,pdsi,lst,Maxtemp,Mintemp,Soilmoist,Silt,Sand,Clay,CEC,Orgcab,Soilbulk,DEM,MarketAccess,LivDens
311.197876,6,34.52638504,-14.21137107,0,0,0,0,0,1,0,0,1,1,1,5,36,4,4,0.764694452,2,100,0.350000013,2,2,2,0,56.04000092,0.562347248,0.207800001,0.212200001,0.199450001,0.363550007,0.594799995,0.406450003,0.348800004,0.334899992,0,10,205,273,237,127,43,895,-4.139999866,38.11998749,29.20000076,21.29999924,1410.800049,26.24690689,23.73385431,17.60096411,24.68324272,23.73385431,139.0763202,514.0703821,17,1228.585667
321.5020447,6,34.63789368,-14.63431549,1,0,0,0,0,1,0,0,1,1,1,1,79,0,0,0.720000029,1,100,0,4,0,4,0,25.70000076,0.388800025,0.159161284,0.156845077,0.287973396,0.395178131,0.55295398,0.385171328,0.306636446,0.348131441,5,12,196,271,235,131,28,878,-1.720000029,32.34999847,27.10000038,18.89999962,1470.099976,18.04276654,22.54263583,20.80878471,25.30590061,22.54263583,138.5796989,959.3330341,18.03610707,922.3613676
347.2221985,6,34.52616268,-14.21786304,0,0,0,1,0,1,0,0,1,0,0,1,78,0,0,0.720000029,1,100,0,2,0,1,0,259.1157837,0.360000014,0.139400005,0.134143288,0.189920561,0.287899551,0.515865148,0.391103967,0.344394349,0.312885463,0,10,205,273,237,127,43,895,-4.139999866,39.20000458,29.20000076,21.29999924,1410.800049,20.91647888,21.36291472,15.18773041,22.66918736,21.36291472,138.7804459,518.0822464,17,1223.14981
348.0352173,6,34.59463641,-14.62613428,1,0,0,0,0,0,1,0,1,1,1,6,35,2.666666746,4,1.214083314,3,100,0.100000001,5,1,13,0,148.7552338,0.574666128,0.162400007,0.156900004,0.276549995,0.367799997,0.528800011,0.533200026,0.372249991,0.334300011,5,12,198,274,240,132,31,892,-1.820000052,33.46999359,26.89999962,18.89999962,1468.5,17.32572219,20.17648218,15.65042037,23.11407824,20.17648218,136.2374622,914.4161288,18,1547.593902
360.3614807,6,34.63473129,-14.6403923,1,0,0,0,0,1,1,0,0,0,1,5,35,2.5,5,0.607041717,2,0,0.07,2,1,3,0,158.4413147,0.485633358,0.153675985,0.137871923,0.278860119,0.424228589,0.511429238,0.384725441,0.268164095,0.364016793,5,12,196,271,235,131,28,878,-1.720000029,32.34999847,27.10000038,18.89999962,1470.099976,17.01528533,21.58989783,18.55932699,24.60109076,21.58989783,137.4134535,950.4008288,18,962.5520285
370.6575012,6,34.633358,-14.64003563,1,0,1,1,0,1,0,0,0,0,1,1,61,7,7,1.618777871,2,0,0,2,0,2,0,9.096571922,0.404694468,0.155499995,0.138899997,0.284099996,0.423299998,0.509000003,0.381550014,0.264400005,0.367300004,5,12,196,271,235,131,28,878,-1.720000029,32.34999847,27.10000038,18.89999962,1470.099976,16.95412186,21.04486233,16.16904158,24.0371019,21.04486233,138.0520518,946.7337641,18,962.7954354
388.3078613,6,34.09573017,-14.20761674,1,0,0,0,0,1,1,0,1,0,0,4,24,3,3,0.404694468,1,100,0,9,0,6,0,49.30367279,0.056657225,0.096699998,0.170300007,0.140799999,0.376300007,0.49575001,0.446200013,0.34404999,0.349999994,0,15,199,248,226,125,48,861,-3.480000019,35.0200119,25.70000076,17.10000038,1015.099976,29.19564249,24.12033151,31.56311079,27.60046456,24.12033151,136.3955569,1236.271656,10,2630.258604
416.6666565,6,34.63781357,-14.64227962,0,0,1,1,0,1,0,0,1,0,1,4,85,3.5,7,0.720000029,1,100,0.02,2,1,2,0,77.87640381,0.360000014,0.148426451,0.119088913,0.242267957,0.404885376,0.553613135,0.401990867,0.335958176,0.333532726,5,12,196,271,235,131,28,878,-1.720000029,32.51000214,27.10000038,18.89999962,1470.099976,16.39776904,22.29595582,17.43666029,24.52351092,22.29595582,138.7468615,957.9035123,18,968.1300522
432.4337463,1,34.72451782,-14.90703392,1,0,0,0,0,1,1,0,0,0,0,1,21,8,8,1.214083314,1,0,0,4,0,3,0,46.64015198,0.404694468,0.180600002,0.215800002,0.223550007,0.48210001,0.573650002,0.448399991,0.330300003,0.348199993,10,16,193,292,238,133,29,911,-2.150000095,30.64998817,27.20000076,19.20000076,1200.199951,14.7192678,20.92864868,14.56941985,24.23996678,20.92864868,140.0315268,907.9777025,18,1029.670419
442.3179321,6,34.51891318,-14.22514762,0,0,0,0,0,1,1,0,0,0,0,2,64,5,7,0.404694468,1,0,0,1,0,1,0,43.33333206,0.404694468,0.165365671,0.17035499,0.230333138,0.338439757,0.487664128,0.355365808,0.293691782,0.303484062,0,10,205,273,237,127,43,895,-4.139999866,38.10934872,29.20000076,21.29999924,1410.800049,17.16889911,19.95651896,17.26946394,21.82623922,19.95651896,141.1061087,526.6102819,17,1168.272485
